jiyan,n,hayat,
jiyandin,v,yaşatmak,
joji,n,kirpi,
jor,zarf,yukarı,
jêbir,n,silgi,
jêkirin,v,koparmak,
jêr,zarf,aşağı,
kanûn,n,aralık,
kar,n,iş,
kargeh,n,dükkan,
karker,n,işçi,
karkerê avahiyan,n,inşaat işçisi,
karmend,n,memur,
karsaz,n,iş adamı,
kartol,n,patates,
karxane,n,fabrika,
karîn,v,"-ebilmek",
kaxiz,n,kağıt,
keban,n,yay,
kek,n,ağabey,
kelandin,v,"haşlamak,kaynatmak",
keleşêr,n,horoz,
kelîn,v,"haşlanmak,kaynamak",
kember,n,kemer,
kenandin,v,"güldürmek",
kendav,n,körfez,
kenîn,v,"gülmek",
kenîn,v,gülmek,
keravî,n,pelikan,
kes,belirtisiz zamir,kimse,
kesk,color,yeşil,
keskesor,n,gökkuşağı,
ketin behsê,v,bahse girmek,
ketin,v,düşmek,
ketin,v,düşmek,
kevanek,n,parantez,
kevn,adj,eski,
kevn,sıfat,eski,
kevnare,n,antik,
kevnarxane,n,müze,
kevok,n,güvercin,
kevçî,n,kaşık,
kevçîkê çayê,n,çay kaşığı,
kevî,n,kıyı,
kevîn,v,düşmek,
kew,n,keklik,
kewar,n,petek,
kezeb,n,karaciğer,
keç,n,kız,
kilîtdank,n,anahtarlık,Eş Anlam
kinik,adj,cüce,
kinûşk,n,pembe,
kirin,v,yapmak,
kişandin,v,"çekmek",
kişandin,v,çekmek,
kolan,n,cadde,
kolan,v,"kazmak",
komar,n,cumhuriyet,
komkujî,n,soykırım,
komrig,n,sülale,
kovar,n,dergi,
kuafor,n,kuaför,
kulîlk,n,çiçek,
kulîlkfiroş,n,çiçekçi,
kund,n,baykuş,
kundir,n,kabak,
kursî,n,sandalye,
kurt,sıfat,kısa,
kutan,v,"dövmek,vurmak",
kuştin,v,"öldürmek",
kêm kirin,v,azaltmak,
kêm,n,eksik,
kêmek,n,eksi,
kûçik,n,köpek,
lalengî,n,mandalina,
lazût,n,mısır,
lehî,n,sel,
lepik,n,eldiven,
leq,n,oynak,
leşker,n,asker,
li dar xistin,v,düzenlemek,
li ser pîyan sekinîn,v,ayakta durmak,
li ser,edat,üzerine,
li xwe kirin,v,giymek,
li xweşê neçûn,v,hoşlanmamak,
li xweşê çûn,v,hoşlanmak,
li,edat,-de,
lihevhatin,v,"uzlaşmak,barışmak",
listikvan,n,oyuncu,
loma,postp,-den dolayı,
lê gerîn,v,aramak,"Kayıp bir şeyi aramak manasında olan kullanım."
lê,"bağlaç, edat, zarf",ama,
lêborîn,v,affetmek,
lêgerîn,n,arama,
lêgerîna bidîmen,n,görüntülü arama,<b>Hevoka Mînak - Örnek Cümle</b><br>Tu dikarî min bi bidîmen bigerî?<br>Beni görüntülü arayabilir misin?
lêhûrbûn,n,konsantrasyon,
lêkirin,v,giydirmek,
lêkolîn kirin,v,araştırmak,
lêkolîn,araştırmak,v,
lêkolîner,n,araştırmacı,
lêv,n,dudak,
lêzim,n,akraba,
lîmon,n,limon,
lîmonete,n,limonata,
made,n,mide,
malaştin,v,"silmek,süpürmek",
malbat,n,aile,
